date,total_kgco2,electricity_kwh,gas_therms,water_gallons
2006-12-31,162.37491176666666,696.8880333333333,0.0,0.0
2007-01-31,267.9960641,1150.1977,0.0,0.0
2007-02-28,219.36517396666667,941.4814333333334,0.0,0.0
2007-03-31,228.58151226666666,981.0365333333333,0.0,0.0
2007-04-30,136.62135963333333,586.3577666666666,0.0,0.0
2007-05-31,170.9011196,733.4812,0.0,0.0
2007-06-30,138.56831540000002,594.7138,0.0,0.0
2007-07-31,115.34987316666667,495.0638333333333,0.0,0.0
2007-08-31,132.40791966666666,568.2743333333333,0.0,0.0
2007-09-30,162.60528663333335,697.8767666666666,0.0,0.0
2007-10-31,191.35657016666667,821.2728333333333,0.0,0.0
2007-11-30,217.15073420000002,931.9774,0.0,0.0
2007-12-31,281.94619350000005,1210.0695,0.0,0.0
2008-01-31,253.07443343333333,1086.1563666666666,0.0,0.0
2008-02-29,191.5689962666667,822.1845333333333,0.0,0.0
2008-03-31,215.8768067,926.5099,0.0,0.0
2008-04-30,187.21546893333334,803.4998666666667,0.0,0.0
2008-05-31,177.553223,762.031,0.0,0.0
2008-06-30,166.76575793333333,715.7328666666666,0.0,0.0
2008-07-31,137.77063990000002,591.2903,0.0,0.0
2008-08-31,47.927634000000005,205.698,0.0,0.0
2008-09-30,165.69325893333334,711.1298666666667,0.0,0.0
2008-10-31,196.87125300000002,844.941,0.0,0.0
2008-11-30,232.64568466666668,998.4793333333333,0.0,0.0
2008-12-31,220.70502493333333,947.2318666666666,0.0,0.0
2009-01-31,244.4558644,1049.1668,0.0,0.0
2009-02-28,195.02911616666665,837.0348333333333,0.0,0.0
2009-03-31,212.64739563333333,912.6497666666667,0.0,0.0
2009-04-30,191.35328486666668,821.2587333333333,0.0,0.0
2009-05-31,175.56483983333334,753.4971666666667,0.0,0.0
2009-06-30,130.254689,559.033,0.0,0.0
2009-07-31,107.14289086666668,459.84073333333333,0.0,0.0
2009-08-31,112.91336886666667,484.60673333333335,0.0,0.0
2009-09-30,165.54092353333334,710.4760666666666,0.0,0.0
2009-10-31,198.39452933333334,851.4786666666666,0.0,0.0
2009-11-30,213.84600976666667,917.7940333333333,0.0,0.0
2009-12-31,236.51443996666669,1015.0834333333333,0.0,0.0
2010-01-31,230.59100523333336,989.6609666666667,0.0,0.0
2010-02-28,215.41512496666667,924.5284333333333,0.0,0.0
2010-03-31,187.0054039,802.5983,0.0,0.0
2010-04-30,172.33504820000002,739.6354,0.0,0.0
2010-05-31,189.86548666666667,814.8733333333333,0.0,0.0
2010-06-30,162.65506320000003,698.0904,0.0,0.0
2010-07-31,124.99577026666668,536.4625333333333,0.0,0.0
2010-08-31,85.83476903333334,368.38956666666667,0.0,0.0
2010-09-30,141.00159653333333,605.1570666666667,0.0,0.0
2010-10-31,201.67297136666667,865.5492333333333,0.0,0.0
2010-11-30,173.19040673333333,743.3064666666667,0.0,0.0
